Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Angola,19.37879444926279,19.37879444926279,19.37879444926279,19.37879444926279,19.37879444926279,19.37879444926279,5.095403295750217,5.0954032957502156,5.0954032957502156,5.095403295750216,5.095403295750216,5.095403295750217,5.095403295750217,0.0
Botswana,2.059843885516045,2.059843885516045,2.059843885516045,2.059843885516045,2.059843885516045,2.059843885516045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Democratic Republic of the Congo,1.6045099739809192,0.0,0.0,0.0,0.0,0.0,1.6045099739809192,1.6045099739809192,1.6045099739809192,1.6045099739809192,1.6045099739809192,1.6045099739809192,1.6045099739809192,0.0
Eswatini,50.41196877710321,50.41196877710321,50.4119687771032,50.4119687771032,50.41196877710321,50.4119687771032,50.41196877710321,12.987857762359061,12.987857762359065,12.987857762359065,12.987857762359061,12.987857762359065,12.987857762359065,0.0
Lesotho,51.387684301821324,51.38768430182134,51.387684301821324,51.38768430182134,51.38768430182134,51.387684301821324,10.700346921075456,10.700346921075456,10.700346921075452,10.700346921075456,10.700346921075456,10.700346921075456,10.700346921075452,0.0
Malawi,44.10234171725932,44.10234171725932,44.10234171725932,44.10234171725932,44.10234171725932,44.10234171725932,13.052905464006937,13.052905464006939,13.052905464006939,13.052905464006939,13.052905464006939,13.052905464006939,13.052905464006939,0.0
Mauritius,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mozambique,1.4960971379011274,1.4960971379011276,1.4960971379011274,1.4960971379011274,1.4960971379011274,1.4960971379011276,2.504336513443191,2.504336513443191,2.504336513443192,2.5043365134431914,2.5043365134431914,2.5043365134431914,2.504336513443191,0.0
Namibia,15.096487424111013,15.096487424111013,15.096487424111016,15.096487424111016,15.096487424111013,15.096487424111013,15.340416305290546,15.340416305290544,15.340416305290546,15.340416305290544,15.340416305290546,15.340416305290546,15.340416305290546,0.0
Seychelles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Africa,15.009757155247181,15.009757155247181,15.009757155247181,15.009757155247181,15.009757155247183,15.009757155247183,14.164137033824806,14.164137033824806,14.164137033824806,14.164137033824803,14.164137033824806,14.164137033824806,14.164137033824806,0.0
Tanzania,1.0841283607979184,1.0841283607979184,1.0841283607979184,1.0841283607979184,1.0841283607979184,1.0841283607979184,1.0841283607979184,1.0841283607979184,1.0841283607979184,1.0841283607979184,1.0841283607979184,1.0841283607979184,1.0841283607979184,0.0
Zambia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zimbabwe,7.805724197745014,7.805724197745012,7.805724197745012,7.805724197745014,7.805724197745012,7.805724197745014,7.111882046834345,7.111882046834345,7.111882046834345,7.111882046834345,7.111882046834345,7.111882046834345,7.111882046834345,0.0
