,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
total_Ecli,12.987456375499468,12.987456375499468,12.987456375499468,12.987456375499468,12.987456375499468,12.987456375499468,10.971304298706434,10.971304298706434,10.971304298706434,10.971304298706434,10.971304298706434,10.971304298706434,10.971304298706434,0.0
EExchangeRateMeasure,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EServices,19.37879444926279,19.37879444926279,19.37879444926279,19.37879444926279,19.37879444926279,19.37879444926279,5.095403295750217,5.0954032957502156,5.0954032957502156,5.095403295750216,5.095403295750216,5.095403295750217,5.095403295750217,0.0
EAppliestoAll,13.431620839363239,13.431620839363239,13.431620839363239,13.431620839363239,13.431620839363239,13.431620839363239,13.58303249097473,13.58303249097473,13.583032490974729,13.58303249097473,13.58303249097473,13.583032490974729,13.58303249097473,0.0
EResident,11.806373270532823,11.806373270532823,11.806373270532823,11.806373270532823,11.806373270532823,11.806373270532823,11.035521395928543,11.035521395928543,11.035521395928543,11.035521395928543,11.035521395928543,11.035521395928543,11.035521395928543,0.0
EPaymentInwards,12.01839303000968,12.01839303000968,12.01839303000968,12.01839303000968,12.01839303000968,12.018393030009682,11.769714121258636,11.769714121258634,11.769714121258636,11.769714121258634,11.769714121258636,11.769714121258636,11.769714121258634,0.0
EFinancialSector,18.221830985915496,18.221830985915492,18.221830985915492,18.221830985915496,18.221830985915492,18.221830985915492,19.35096153846154,19.35096153846154,19.35096153846154,19.35096153846154,19.35096153846154,19.35096153846154,19.35096153846154,0.0
ENonResident,12.67512077294686,12.675120772946864,12.67512077294686,12.67512077294686,12.675120772946864,12.67512077294686,13.780487804878044,13.78048780487805,13.780487804878044,13.780487804878044,13.780487804878044,13.780487804878044,13.780487804878044,0.0
ECapitalAccount,11.682853940978708,11.682853940978708,11.682853940978708,11.682853940978708,11.682853940978708,11.682853940978708,10.990338164251206,10.99033816425121,10.990338164251206,10.99033816425121,10.990338164251206,10.99033816425121,10.990338164251206,0.0
ETradeInwards,9.158415841584159,9.158415841584159,9.158415841584159,9.158415841584159,9.158415841584159,9.158415841584159,10.20220588235294,10.20220588235294,10.20220588235294,10.20220588235294,10.20220588235294,10.20220588235294,10.20220588235294,0.0
ETradeOutwards,11.875,11.875,11.875,11.875,11.875,11.875,10.49019607843137,10.49019607843137,10.49019607843137,10.49019607843137,10.490196078431374,10.49019607843137,10.49019607843137,0.0
EGoods,11.471263168874518,11.471263168874518,11.471263168874518,11.471263168874518,11.471263168874518,11.471263168874518,11.205007824726136,11.205007824726136,11.205007824726136,11.205007824726136,11.205007824726136,11.205007824726136,11.205007824726136,0.0
EPaymentOutwards,12.137997208653175,12.137997208653175,12.137997208653175,12.137997208653175,12.137997208653175,12.137997208653175,11.749229979466119,11.749229979466119,11.749229979466119,11.749229979466119,11.749229979466119,11.749229979466119,11.749229979466119,0.0
